	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	original.README.PeanutBase.Adur_v1.0_by_scaff_2014-08-24.txt	genome	original_text	Arachis	duranensis	Arachis duranensis	aradu	SWBf	V14167	False													1								
1	aradu.V14167.gnm1.SWBf.pchr_by_scaff.tar.gz	genome	unrecognized	Arachis	duranensis	Arachis duranensis	aradu	SWBf	V14167	True													1								
2	aradu.V14167.gnm1.SWBf.genome_main.fna.gz.fai	genome	faidx	Arachis	duranensis	Arachis duranensis	aradu	SWBf	V14167	False					genome								1								
3	MANIFEST.SWBf.descriptions.yml	genome	descriptions	Arachis	duranensis	Arachis duranensis	aradu	SWBf	V14167	False													1								
4	CHECKSUM.SWBf.md5	genome	checksum	Arachis	duranensis	Arachis duranensis	aradu	SWBf	V14167	False													1								
5	MANIFEST.SWBf.correspondence.yml	genome	correspondence	Arachis	duranensis	Arachis duranensis	aradu	SWBf	V14167	False													1								
6	aradu.V14167.gnm1.SWBf.genome_main.fna.gz.gzi	genome	gzindex	Arachis	duranensis	Arachis duranensis	aradu	SWBf	V14167	False					genome								1								
7	aradu.V14167.gnm1.SWBf.pchr_by_scaff_RM.tar.gz	genome	unrecognized	Arachis	duranensis	Arachis duranensis	aradu	SWBf	V14167	True													1								
8	README.SWBf.yml	genome	readme	Arachis	duranensis	Arachis duranensis	aradu	SWBf	V14167	False													1								
9	aradu.V14167.gnm1.SWBf.genome_main.fna.gz	genome	genome	Arachis	duranensis	Arachis duranensis	aradu	SWBf	V14167	True													1								
10	original.README.PeanutBase.txt	genome	original_text	Arachis	duranensis	Arachis duranensis	aradu	SWBf	V14167	False													1								
