	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	aradu.V14167.gnm1.ann1.cxSM.gene_models_lowqual_or_TE.gff.gz	annotation	unrecognized	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	True						1							1								
1	aradu.V14167.gnm1.ann1.cxSM.transcript_lowqual_or_TE.fna.gz	annotation	unrecognized	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	True						1							1								
2	C	annotation	invalid	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	False	dots_in_name	1.0				1							1								
3	aradu.V14167.gnm1.ann1.cxSM.gene_models_main.gff3.gz.tbi	annotation	tabix	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	False					gff	1							1								
4	CHECKSUM.cxSM.md5	annotation	checksum	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	False						1							1								
5	aradu.V14167.gnm1.ann1.cxSM.transcript.fna.gz	annotation	unrecognized	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	True						1							1								
6	aradu.V14167.gnm1.ann1.cxSM.info_annot_AHRD_slim.txt.gz	annotation	unrecognized	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	True						1							1								
7	aradu.V14167.gnm1.ann1.cxSM.info_AED_scores.txt.gz	annotation	unrecognized	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	True						1							1								
8	MANIFEST.cxSM.descriptions.yml	annotation	descriptions	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	False						1							1								
9	aradu.V14167.gnm1.ann1.cxSM.protein.faa.gz	annotation	protein	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	True						1							1								
10	original_usage_agreement.txt	annotation	original_text	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	False						1							1								
11	wei.huang@login.scinet.science	annotation	invalid	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	False	dots_in_name	4.0				1							1								
12	aradu.V14167.gnm1.ann1.cxSM.protein_annot_AHRD.faa.gz	annotation	unrecognized	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	True						1							1								
13	MANIFEST.cxSM.correspondence.yml	annotation	correspondence	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	False						1							1								
14	weih@lathyrus.usda.iastate.edu	annotation	invalid	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	False	dots_in_name	4.0				1							1								
15	original_gene_naming_scheme.txt	annotation	original_text	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	False						1							1								
16	aradu.V14167.gnm1.ann1.cxSM.cds.fna.gz	annotation	cds	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	True						1							1								
17	aradu.V14167.gnm1.ann1.cxSM.info_annot_AHRD_full.txt.gz	annotation	unrecognized	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	True						1							1								
18	aradu.V14167.gnm1.ann1.cxSM.protein_lowqual_or_TE.faa.gz	annotation	unrecognized	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	True						1							1								
19	README.cxSM.yml	annotation	readme	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	False						1							1								
20	aradu.V14167.gnm1.ann1.cxSM.gene_models_main.gff3.gz	annotation	gff	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	True						1							1								
21	original.README.txt	annotation	original_text	Arachis	duranensis	Arachis duranensis	aradu	cxSM	V14167	False						1							1								
