	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	MANIFEST.KYV3.correspondence.yml	genome	correspondence	Arachis	hypogaea	Arachis hypogaea	arahy	KYV3	Tifrunner	False													1								
1	original_README.txt	genome	original_text	Arachis	hypogaea	Arachis hypogaea	arahy	KYV3	Tifrunner	False													1								
2	arahy.Tifrunner.gnm1.KYV3.genome_main.fna.gz.gzi	genome	gzindex	Arachis	hypogaea	Arachis hypogaea	arahy	KYV3	Tifrunner	False					genome								1								
3	arahy.Tifrunner.gnm1.KYV3.rDNA.fna.gz	genome	unrecognized	Arachis	hypogaea	Arachis hypogaea	arahy	KYV3	Tifrunner	True													1								
4	arahy.Tifrunner.gnm1.KYV3.genome_softmasked.fna.gz	genome	unrecognized	Arachis	hypogaea	Arachis hypogaea	arahy	KYV3	Tifrunner	True													1								
5	arahy.Tifrunner.gnm1.KYV3.repeat.fna.gz	genome	unrecognized	Arachis	hypogaea	Arachis hypogaea	arahy	KYV3	Tifrunner	True													1								
6	README.KYV3.yml	genome	readme	Arachis	hypogaea	Arachis hypogaea	arahy	KYV3	Tifrunner	False													1								
7	arahy.Tifrunner.gnm1.KYV3.genome_assignment.txt.gz	genome	unrecognized	Arachis	hypogaea	Arachis hypogaea	arahy	KYV3	Tifrunner	True													1								
8	arahy.Tifrunner.gnm1.KYV3.altHap.fna.gz	genome	unrecognized	Arachis	hypogaea	Arachis hypogaea	arahy	KYV3	Tifrunner	True													1								
9	MANIFEST.KYV3.descriptions.yml	genome	descriptions	Arachis	hypogaea	Arachis hypogaea	arahy	KYV3	Tifrunner	False													1								
10	arahy.Tifrunner.gnm1.KYV3.genome_main.fna.gz	genome	genome	Arachis	hypogaea	Arachis hypogaea	arahy	KYV3	Tifrunner	True													1								
11	arahy.Tifrunner.gnm1.KYV3.genome_main.fna.gz.fai	genome	faidx	Arachis	hypogaea	Arachis hypogaea	arahy	KYV3	Tifrunner	False					genome								1								
12	CHECKSUM.KYV3.md5	genome	checksum	Arachis	hypogaea	Arachis hypogaea	arahy	KYV3	Tifrunner	False													1								
13	arahy.Tifrunner.gnm1.KYV3.genome_repeatmask_coords.gff.gz	genome	unrecognized	Arachis	hypogaea	Arachis hypogaea	arahy	KYV3	Tifrunner	True													1								
