	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	README.bXJ8.yml	genome	readme	Arachis	ipaensis	Arachis ipaensis	araip	bXJ8	K30076	False													1								
1	CHECKSUM.bXJ8.md5	genome	checksum	Arachis	ipaensis	Arachis ipaensis	araip	bXJ8	K30076	False													1								
2	original.PeanutBase.README.txt	genome	original_text	Arachis	ipaensis	Arachis ipaensis	araip	bXJ8	K30076	False													1								
3	araip.K30076.gnm1.bXJ8.pchr_by_scaff_RM.tar.gz	genome	unrecognized	Arachis	ipaensis	Arachis ipaensis	araip	bXJ8	K30076	True													1								
4	original.README.PeanutBase.Aipa_v1.0_by_scaff_2014-08-24.txt	genome	original_text	Arachis	ipaensis	Arachis ipaensis	araip	bXJ8	K30076	False													1								
5	araip.K30076.gnm1.bXJ8.genome_main.fna.gz.gzi	genome	gzindex	Arachis	ipaensis	Arachis ipaensis	araip	bXJ8	K30076	False					genome								1								
6	MANIFEST.bXJ8.descriptions.yml	genome	descriptions	Arachis	ipaensis	Arachis ipaensis	araip	bXJ8	K30076	False													1								
7	araip.K30076.gnm1.bXJ8.genome_main.fna.gz.fai	genome	faidx	Arachis	ipaensis	Arachis ipaensis	araip	bXJ8	K30076	False					genome								1								
8	araip.K30076.gnm1.bXJ8.pchr_by_scaff.tar.gz	genome	unrecognized	Arachis	ipaensis	Arachis ipaensis	araip	bXJ8	K30076	True													1								
9	araip.K30076.gnm1.bXJ8.genome_main.fna.gz	genome	genome	Arachis	ipaensis	Arachis ipaensis	araip	bXJ8	K30076	True													1								
10	MANIFEST.bXJ8.correspondence.yml	genome	correspondence	Arachis	ipaensis	Arachis ipaensis	araip	bXJ8	K30076	False													1								
