	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	cajca.ICPL87119.gnm1.ann1.Y27M.gene_main.fna.gz	annotation	unrecognized	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	True						1							1								
1	MANIFEST.Y27M.descriptions.yml	annotation	descriptions	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	False						1							1								
2	cajca.ICPL87119.gnm1.ann1.Y27M.info_annot_Trembl.txt.gz	annotation	unrecognized	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	True						1							1								
3	cajca.ICPL87119.gnm1.ann1.Y27M.info_annot_miRNA.gff.gz	annotation	unrecognized	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	True						1							1								
4	cajca.ICPL87119.gnm1.ann1.Y27M.filterTE.gff.gz	annotation	unrecognized	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	True						1							1								
5	cajca.ICPL87119.gnm1.ann1.Y27M.protein_filterTE.faa.gz	annotation	unrecognized	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	True						1							1								
6	cajca.ICPL87119.gnm1.ann1.Y27M.TE.gff.gz	annotation	unrecognized	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	True						1							1								
7	cajca.ICPL87119.gnm1.ann1.Y27M.protein_main.faa.gz	annotation	unrecognized	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	True						1							1								
8	cajca.ICPL87119.gnm1.ann1.Y27M.cds.fna.gz.fai	annotation	faidx	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	False					cds	1							1								
9	MANIFEST.Y27M.correspondence.yml	annotation	correspondence	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	False						1							1								
10	cajca.ICPL87119.gnm1.ann1.Y27M.repeat_models.gff.gz	annotation	unrecognized	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	True						1							1								
11	cajca.ICPL87119.gnm1.ann1.Y27M.info_annot_rRNA.gff.gz	annotation	unrecognized	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	True						1							1								
12	cajca.ICPL87119.gnm1.ann1.Y27M.info_annot_tRNA.gff.gz	annotation	unrecognized	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	True						1							1								
13	cajca.ICPL87119.gnm1.ann1.Y27M.cds.fna.gz	annotation	cds	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	True						1							1								
14	cajca.ICPL87119.gnm1.ann1.Y27M.gene_models_main.gff3.gz.tbi	annotation	tabix	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	False					gff	1							1								
15	cajca.ICPL87119.gnm1.ann1.Y27M.info_annot_snRNA.gff.gz	annotation	unrecognized	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	True						1							1								
16	cajca.ICPL87119.gnm1.ann1.Y27M.gene_filterTE.fna.gz	annotation	unrecognized	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	True						1							1								
17	cajca.ICPL87119.gnm1.ann1.Y27M.gene_models_main.gff3.gz	annotation	gff	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	True						1							1								
18	cajca.ICPL87119.gnm1.ann1.Y27M.info_annot_KEGG.txt.gz	annotation	unrecognized	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	True						1							1								
19	cajca.ICPL87119.gnm1.ann1.Y27M.cds.fna.gz.gzi	annotation	gzindex	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	False					cds	1							1								
20	CHECKSUM.Y27M.md5	annotation	checksum	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	False						1							1								
21	README.Y27M.yml	annotation	readme	Cajanus	cajan	Cajanus cajan	cajca	Y27M	ICPL87119	False						1							1								
