	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	glyma.Lee.gnm1.BXNC.genome_hardmasked.fna.gz	genome	unrecognized	Glycine	max	Glycine max	glyma	BXNC	Lee	True													1								
1	glyma.Lee.gnm1.BXNC.pchr_entire.tar.gz	genome	unrecognized	Glycine	max	Glycine max	glyma	BXNC	Lee	True													1								
2	glyma.Lee.gnm1.BXNC.agp.txt.gz	genome	unrecognized	Glycine	max	Glycine max	glyma	BXNC	Lee	True													1								
3	glyma.Lee.gnm1.BXNC.genome_main.fna.gz	genome	genome	Glycine	max	Glycine max	glyma	BXNC	Lee	True													1								
4	README.BXNC.yml	genome	readme	Glycine	max	Glycine max	glyma	BXNC	Lee	False													1								
5	CHECKSUM.BXNC.md5	genome	checksum	Glycine	max	Glycine max	glyma	BXNC	Lee	False													1								
6	glyma.Lee.gnm1.BXNC.pchr_by_scaff.tar.gz	genome	unrecognized	Glycine	max	Glycine max	glyma	BXNC	Lee	True													1								
7	glyma.Lee.gnm1.BXNC.genome_main.fna.gz.gzi	genome	gzindex	Glycine	max	Glycine max	glyma	BXNC	Lee	False					genome								1								
8	MANIFEST.BXNC.correspondence.yml	genome	correspondence	Glycine	max	Glycine max	glyma	BXNC	Lee	False													1								
9	glyma.Lee.gnm1.BXNC.genome_softmasked.fna.gz	genome	unrecognized	Glycine	max	Glycine max	glyma	BXNC	Lee	True													1								
10	usage_policy.txt	genome	unrecognized	Glycine	max	Glycine max	glyma	BXNC	Lee	False													1								
11	glyma.Lee.gnm1.BXNC.genome_main.fna.gz.fai	genome	faidx	Glycine	max	Glycine max	glyma	BXNC	Lee	False					genome								1								
12	glyma.Lee.gnm1.BXNC.order_orient.txt.gz	genome	unrecognized	Glycine	max	Glycine max	glyma	BXNC	Lee	True													1								
13	MANIFEST.BXNC.descriptions.yml	genome	descriptions	Glycine	max	Glycine max	glyma	BXNC	Lee	False													1								
