	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	glyma.Wm82.gnm1.ann1.DvBy.protein_primaryTranscript.faa.gz	annotation	primary	Glycine	max	Glycine max	glyma	DvBy	Wm82	True						1							1								
1	glyma.Wm82.gnm1.ann1.DvBy.cds.fna.gz	annotation	cds	Glycine	max	Glycine max	glyma	DvBy	Wm82	True						1							1								
2	glyma.Wm82.gnm1.ann1.DvBy.gene_models.gff3.gz	annotation	unrecognized	Glycine	max	Glycine max	glyma	DvBy	Wm82	True						1							1								
3	README.DvBy.yml	annotation	readme	Glycine	max	Glycine max	glyma	DvBy	Wm82	False						1							1								
4	MANIFEST.DvBy.correspondence.yml	annotation	correspondence	Glycine	max	Glycine max	glyma	DvBy	Wm82	False						1							1								
5	MANIFEST.DvBy.descriptions.yml	annotation	descriptions	Glycine	max	Glycine max	glyma	DvBy	Wm82	False						1							1								
6	glyma.Wm82.gnm1.ann1.DvBy.gene_models_main.gff3.gz	annotation	gff	Glycine	max	Glycine max	glyma	DvBy	Wm82	True						1							1								
7	glyma.Wm82.gnm1.ann1.DvBy.transcript_primaryTranscript.fna.gz	annotation	unrecognized	Glycine	max	Glycine max	glyma	DvBy	Wm82	True						1							1								
8	glyma.Wm82.gnm1.ann1.DvBy.protein.faa.gz	annotation	protein	Glycine	max	Glycine max	glyma	DvBy	Wm82	True						1							1								
9	CHECKSUM.DvBy.md5	annotation	checksum	Glycine	max	Glycine max	glyma	DvBy	Wm82	False						1							1								
10	glyma.Wm82.gnm1.ann1.DvBy.cds_primaryTranscript.fna.gz	annotation	unrecognized	Glycine	max	Glycine max	glyma	DvBy	Wm82	True						1							1								
11	glyma.Wm82.gnm1.ann1.DvBy.transcripts.fna.gz	annotation	unrecognized	Glycine	max	Glycine max	glyma	DvBy	Wm82	True						1							1								
12	glyma.Wm82.gnm1.ann1.DvBy.info_annot.txt.gz	annotation	unrecognized	Glycine	max	Glycine max	glyma	DvBy	Wm82	True						1							1								
