	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	glyso.PI483463.gnm1.YJWS.genome_hardmasked.fna.gz	genome	unrecognized	Glycine	soja	Glycine soja	glyso	YJWS	PI483463	True													1								
1	glyso.PI483463.gnm1.YJWS.genome_softmasked.fna.gz	genome	unrecognized	Glycine	soja	Glycine soja	glyso	YJWS	PI483463	True													1								
2	glyso.PI483463.gnm1.YJWS.genome_main.fna.gz	genome	genome	Glycine	soja	Glycine soja	glyso	YJWS	PI483463	True													1								
3	MANIFEST.YJWS.descriptions.yml	genome	descriptions	Glycine	soja	Glycine soja	glyso	YJWS	PI483463	False													1								
4	glyso.PI483463.gnm1.YJWS.scaffolds_split.tar.gz	genome	unrecognized	Glycine	soja	Glycine soja	glyso	YJWS	PI483463	True													1								
5	usage_policy.txt	genome	unrecognized	Glycine	soja	Glycine soja	glyso	YJWS	PI483463	False													1								
6	glyso.PI483463.gnm1.YJWS.agp.txt.gz	genome	unrecognized	Glycine	soja	Glycine soja	glyso	YJWS	PI483463	True													1								
7	MANIFEST.YJWS.correspondence.yml	genome	correspondence	Glycine	soja	Glycine soja	glyso	YJWS	PI483463	False													1								
8	glyso.PI483463.gnm1.YJWS.genome_main.fna.gz.gzi	genome	gzindex	Glycine	soja	Glycine soja	glyso	YJWS	PI483463	False					genome								1								
9	glyso.PI483463.gnm1.YJWS.genome_main.fna.gz.fai	genome	faidx	Glycine	soja	Glycine soja	glyso	YJWS	PI483463	False					genome								1								
10	README.YJWS.yml	genome	readme	Glycine	soja	Glycine soja	glyso	YJWS	PI483463	False													1								
11	glyso.PI483463.gnm1.YJWS.pchr_entire.tar.gz	genome	unrecognized	Glycine	soja	Glycine soja	glyso	YJWS	PI483463	True													1								
12	CHECKSUM.YJWS.md5	genome	checksum	Glycine	soja	Glycine soja	glyso	YJWS	PI483463	False													1								
13	glyso.PI483463.gnm1.YJWS.order_orient.txt.gz	genome	unrecognized	Glycine	soja	Glycine soja	glyso	YJWS	PI483463	True													1								
14	glyso.PI483463.gnm1.YJWS.pchr_by_scaff.tar.gz	genome	unrecognized	Glycine	soja	Glycine soja	glyso	YJWS	PI483463	True													1								
