	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	glyso.PI483463.gnm1.ann1.3Q3Q.gene_models_main.gff3.gz	annotation	gff	Glycine	soja	Glycine soja	glyso	3Q3Q	PI483463	True						1							1								
1	glyso.PI483463.gnm1.ann1.3Q3Q.transcript_primaryTranscript.fna.gz	annotation	unrecognized	Glycine	soja	Glycine soja	glyso	3Q3Q	PI483463	True						1							1								
2	MANIFEST.3Q3Q.correspondence.yml	annotation	correspondence	Glycine	soja	Glycine soja	glyso	3Q3Q	PI483463	False						1							1								
3	glyso.PI483463.gnm1.ann1.3Q3Q.protein.faa.gz	annotation	protein	Glycine	soja	Glycine soja	glyso	3Q3Q	PI483463	True						1							1								
4	glyso.PI483463.gnm1.ann1.3Q3Q.protein_primaryTranscript.faa.gz	annotation	primary	Glycine	soja	Glycine soja	glyso	3Q3Q	PI483463	True						1							1								
5	README.3Q3Q.yml	annotation	readme	Glycine	soja	Glycine soja	glyso	3Q3Q	PI483463	False						1							1								
6	glyso.PI483463.gnm1.ann1.3Q3Q.cds_primaryTranscript.fna.gz	annotation	unrecognized	Glycine	soja	Glycine soja	glyso	3Q3Q	PI483463	True						1							1								
7	glyso.PI483463.gnm1.ann1.3Q3Q.gene_models_exons.gff3.gz	annotation	unrecognized	Glycine	soja	Glycine soja	glyso	3Q3Q	PI483463	True						1							1								
8	glyso.PI483463.gnm1.ann1.3Q3Q.gene_models_main.gff3.gz.tbi	annotation	tabix	Glycine	soja	Glycine soja	glyso	3Q3Q	PI483463	False					gff	1							1								
9	glyso.PI483463.gnm1.ann1.3Q3Q.repeatmasking.gff3.gz	annotation	unrecognized	Glycine	soja	Glycine soja	glyso	3Q3Q	PI483463	True						1							1								
10	MANIFEST.3Q3Q.descriptions.yml	annotation	descriptions	Glycine	soja	Glycine soja	glyso	3Q3Q	PI483463	False						1							1								
11	glyso.PI483463.gnm1.ann1.3Q3Q.transcript.fna.gz	annotation	unrecognized	Glycine	soja	Glycine soja	glyso	3Q3Q	PI483463	True						1							1								
12	glyso.PI483463.gnm1.ann1.3Q3Q.cds.fna.gz	annotation	cds	Glycine	soja	Glycine soja	glyso	3Q3Q	PI483463	True						1							1								
13	glyso.PI483463.gnm1.ann1.3Q3Q.info_annot.txt.gz	annotation	unrecognized	Glycine	soja	Glycine soja	glyso	3Q3Q	PI483463	True						1							1								
