	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	README.3GKS.yml	annotation	readme	Lupinus	albus	Lupinus albus	lupal	3GKS	Amiga	False						0							1								
1	CHECKSUM.3GKS.md5	annotation	checksum	Lupinus	albus	Lupinus albus	lupal	3GKS	Amiga	False						0							1								
2	lupal.Amiga.gnm1.ann0.3GKS.protein.faa.gz.gzi	annotation	gzindex	Lupinus	albus	Lupinus albus	lupal	3GKS	Amiga	False					protein	0							1								
3	MANIFEST.3GKS.descriptions.yml	annotation	descriptions	Lupinus	albus	Lupinus albus	lupal	3GKS	Amiga	False						0							1								
4	lupal.Amiga.gnm1.ann0.3GKS.mRNA.fna.gz.gzi	annotation	unrecognized	Lupinus	albus	Lupinus albus	lupal	3GKS	Amiga	False						0							1								
5	lupal.Amiga.gnm1.ann0.3GKS.cds.fna.gz.gzi	annotation	gzindex	Lupinus	albus	Lupinus albus	lupal	3GKS	Amiga	False					cds	0							1								
6	MANIFEST.3GKS.correspondence.yml	annotation	correspondence	Lupinus	albus	Lupinus albus	lupal	3GKS	Amiga	False						0							1								
7	lupal.Amiga.gnm1.ann0.3GKS.cds.fna.gz	annotation	cds	Lupinus	albus	Lupinus albus	lupal	3GKS	Amiga	True						0							1								
8	lupal.Amiga.gnm1.ann0.3GKS.cds.fna.gz.fai	annotation	faidx	Lupinus	albus	Lupinus albus	lupal	3GKS	Amiga	False					cds	0							1								
9	lupal.Amiga.gnm1.ann0.3GKS.mRNA.fna.gz	annotation	unrecognized	Lupinus	albus	Lupinus albus	lupal	3GKS	Amiga	True						0							1								
10	lupal.Amiga.gnm1.ann0.3GKS.mRNA.fna.gz.fai	annotation	unrecognized	Lupinus	albus	Lupinus albus	lupal	3GKS	Amiga	False						0							1								
11	lupal.Amiga.gnm1.ann0.3GKS.protein.faa.gz	annotation	protein	Lupinus	albus	Lupinus albus	lupal	3GKS	Amiga	True						0							1								
12	lupal.Amiga.gnm1.ann0.3GKS.protein.faa.gz.fai	annotation	faidx	Lupinus	albus	Lupinus albus	lupal	3GKS	Amiga	False					protein	0							1								
13	curation_notes	annotation	invalid	Lupinus	albus	Lupinus albus	lupal	3GKS	Amiga	False	dots_in_name	1.0				0							1								
14	lupal.Amiga.gnm1.ann0.3GKS.gene_models_main.gff3.gz.tbi	annotation	tabix	Lupinus	albus	Lupinus albus	lupal	3GKS	Amiga	False					gff	0							1								
15	lupal.Amiga.gnm1.ann0.3GKS.gene_models_main.gff3.gz	annotation	gff	Lupinus	albus	Lupinus albus	lupal	3GKS	Amiga	True						0							1								
