	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	medtr.HM010.gnm1.ann1.WV9J.mrna.fna.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	WV9J	HM010	False					mrna	1							1								
1	medtr.HM010.gnm1.ann1.WV9J.mrna.fna.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	WV9J	HM010	False					mrna	1							1								
2	MANIFEST.WV9J.correspondence.yml	annotation	correspondence	Medicago	truncatula	Medicago truncatula	medtr	WV9J	HM010	False						1							1								
3	README.WV9J.yml	annotation	readme	Medicago	truncatula	Medicago truncatula	medtr	WV9J	HM010	False						1							1								
4	medtr.HM010.gnm1.ann1.WV9J.gene_models_main.gff3.gz	annotation	gff	Medicago	truncatula	Medicago truncatula	medtr	WV9J	HM010	True						1							1								
5	medtr.HM010.gnm1.ann1.WV9J.protein.faa.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	WV9J	HM010	False					protein	1							1								
6	medtr.HM010.gnm1.ann1.WV9J.protein.faa.gz	annotation	protein	Medicago	truncatula	Medicago truncatula	medtr	WV9J	HM010	True						1							1								
7	medtr.HM010.gnm1.ann1.WV9J.gene_models_main.gff3.gz.tbi	annotation	tabix	Medicago	truncatula	Medicago truncatula	medtr	WV9J	HM010	False					gff	1							1								
8	medtr.HM010.gnm1.ann1.WV9J.mrna.fna.gz	annotation	mrna	Medicago	truncatula	Medicago truncatula	medtr	WV9J	HM010	True						1							1								
9	MANIFEST.WV9J.descriptions.yml	annotation	descriptions	Medicago	truncatula	Medicago truncatula	medtr	WV9J	HM010	False						1							1								
10	CHECKSUM.WV9J.md5	annotation	checksum	Medicago	truncatula	Medicago truncatula	medtr	WV9J	HM010	False						1							1								
11	medtr.HM010.gnm1.ann1.WV9J.protein.faa.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	WV9J	HM010	False					protein	1							1								
12	medtr.HM010.gnm1.ann1.WV9J.cds.fna.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	WV9J	HM010	False					cds	1							1								
13	medtr.HM010.gnm1.ann1.WV9J.cds.fna.gz	annotation	cds	Medicago	truncatula	Medicago truncatula	medtr	WV9J	HM010	True						1							1								
14	medtr.HM010.gnm1.ann1.WV9J.cds.fna.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	WV9J	HM010	False					cds	1							1								
