	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	medtr.HM023.gnm1.ann1.WZN8.cds.fna.gz	annotation	cds	Medicago	truncatula	Medicago truncatula	medtr	WZN8	HM023	True						1							1								
1	medtr.HM023.gnm1.ann1.WZN8.mrna.fna.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	WZN8	HM023	False					mrna	1							1								
2	medtr.HM023.gnm1.ann1.WZN8.cds.fna.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	WZN8	HM023	False					cds	1							1								
3	MANIFEST.WZN8.descriptions.yml	annotation	descriptions	Medicago	truncatula	Medicago truncatula	medtr	WZN8	HM023	False						1							1								
4	medtr.HM023.gnm1.ann1.WZN8.mrna.fna.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	WZN8	HM023	False					mrna	1							1								
5	medtr.HM023.gnm1.ann1.WZN8.mrna.fna.gz	annotation	mrna	Medicago	truncatula	Medicago truncatula	medtr	WZN8	HM023	True						1							1								
6	medtr.HM023.gnm1.ann1.WZN8.protein.faa.gz	annotation	protein	Medicago	truncatula	Medicago truncatula	medtr	WZN8	HM023	True						1							1								
7	medtr.HM023.gnm1.ann1.WZN8.cds.fna.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	WZN8	HM023	False					cds	1							1								
8	medtr.HM023.gnm1.ann1.WZN8.protein.faa.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	WZN8	HM023	False					protein	1							1								
9	MANIFEST.WZN8.correspondence.yml	annotation	correspondence	Medicago	truncatula	Medicago truncatula	medtr	WZN8	HM023	False						1							1								
10	medtr.HM023.gnm1.ann1.WZN8.gene_models_main.gff3.gz	annotation	gff	Medicago	truncatula	Medicago truncatula	medtr	WZN8	HM023	True						1							1								
11	medtr.HM023.gnm1.ann1.WZN8.gene_models_main.gff3.gz.tbi	annotation	tabix	Medicago	truncatula	Medicago truncatula	medtr	WZN8	HM023	False					gff	1							1								
12	CHECKSUM.WZN8.md5	annotation	checksum	Medicago	truncatula	Medicago truncatula	medtr	WZN8	HM023	False						1							1								
13	medtr.HM023.gnm1.ann1.WZN8.protein.faa.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	WZN8	HM023	False					protein	1							1								
14	README.WZN8.yml	annotation	readme	Medicago	truncatula	Medicago truncatula	medtr	WZN8	HM023	False						1							1								
