	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	MANIFEST.GWRX.descriptions.yml	annotation	descriptions	Medicago	truncatula	Medicago truncatula	medtr	GWRX	HM050	False						1							1								
1	medtr.HM050.gnm1.ann1.GWRX.mrna.fna.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	GWRX	HM050	False					mrna	1							1								
2	medtr.HM050.gnm1.ann1.GWRX.cds.fna.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	GWRX	HM050	False					cds	1							1								
3	medtr.HM050.gnm1.ann1.GWRX.cds.fna.gz	annotation	cds	Medicago	truncatula	Medicago truncatula	medtr	GWRX	HM050	True						1							1								
4	medtr.HM050.gnm1.ann1.GWRX.mrna.fna.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	GWRX	HM050	False					mrna	1							1								
5	medtr.HM050.gnm1.ann1.GWRX.protein.faa.gz	annotation	protein	Medicago	truncatula	Medicago truncatula	medtr	GWRX	HM050	True						1							1								
6	medtr.HM050.gnm1.ann1.GWRX.gene_models_main.gff3.gz	annotation	gff	Medicago	truncatula	Medicago truncatula	medtr	GWRX	HM050	True						1							1								
7	medtr.HM050.gnm1.ann1.GWRX.protein.faa.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	GWRX	HM050	False					protein	1							1								
8	medtr.HM050.gnm1.ann1.GWRX.cds.fna.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	GWRX	HM050	False					cds	1							1								
9	CHECKSUM.GWRX.md5	annotation	checksum	Medicago	truncatula	Medicago truncatula	medtr	GWRX	HM050	False						1							1								
10	medtr.HM050.gnm1.ann1.GWRX.mrna.fna.gz	annotation	mrna	Medicago	truncatula	Medicago truncatula	medtr	GWRX	HM050	True						1							1								
11	README.GWRX.yml	annotation	readme	Medicago	truncatula	Medicago truncatula	medtr	GWRX	HM050	False						1							1								
12	MANIFEST.GWRX.correspondence.yml	annotation	correspondence	Medicago	truncatula	Medicago truncatula	medtr	GWRX	HM050	False						1							1								
13	medtr.HM050.gnm1.ann1.GWRX.gene_models_main.gff3.gz.tbi	annotation	tabix	Medicago	truncatula	Medicago truncatula	medtr	GWRX	HM050	False					gff	1							1								
14	medtr.HM050.gnm1.ann1.GWRX.protein.faa.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	GWRX	HM050	False					protein	1							1								
