	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	medtr.HM060.gnm1.ann1.H41P.protein.faa.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	H41P	HM060	False					protein	1							1								
1	MANIFEST.H41P.descriptions.yml	annotation	descriptions	Medicago	truncatula	Medicago truncatula	medtr	H41P	HM060	False						1							1								
2	medtr.HM060.gnm1.ann1.H41P.gene_models_main.gff3.gz.tbi	annotation	tabix	Medicago	truncatula	Medicago truncatula	medtr	H41P	HM060	False					gff	1							1								
3	medtr.HM060.gnm1.ann1.H41P.gene_models_main.gff3.gz	annotation	gff	Medicago	truncatula	Medicago truncatula	medtr	H41P	HM060	True						1							1								
4	medtr.HM060.gnm1.ann1.H41P.cds.fna.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	H41P	HM060	False					cds	1							1								
5	medtr.HM060.gnm1.ann1.H41P.mrna.fna.gz	annotation	mrna	Medicago	truncatula	Medicago truncatula	medtr	H41P	HM060	True						1							1								
6	MANIFEST.H41P.correspondence.yml	annotation	correspondence	Medicago	truncatula	Medicago truncatula	medtr	H41P	HM060	False						1							1								
7	medtr.HM060.gnm1.ann1.H41P.mrna.fna.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	H41P	HM060	False					mrna	1							1								
8	CHECKSUM.H41P.md5	annotation	checksum	Medicago	truncatula	Medicago truncatula	medtr	H41P	HM060	False						1							1								
9	README.H41P.yml	annotation	readme	Medicago	truncatula	Medicago truncatula	medtr	H41P	HM060	False						1							1								
10	medtr.HM060.gnm1.ann1.H41P.mrna.fna.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	H41P	HM060	False					mrna	1							1								
11	medtr.HM060.gnm1.ann1.H41P.cds.fna.gz	annotation	cds	Medicago	truncatula	Medicago truncatula	medtr	H41P	HM060	True						1							1								
12	medtr.HM060.gnm1.ann1.H41P.cds.fna.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	H41P	HM060	False					cds	1							1								
13	medtr.HM060.gnm1.ann1.H41P.protein.faa.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	H41P	HM060	False					protein	1							1								
14	medtr.HM060.gnm1.ann1.H41P.protein.faa.gz	annotation	protein	Medicago	truncatula	Medicago truncatula	medtr	H41P	HM060	True						1							1								
