	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	medtr.HM324.gnm1.ann1.SQH2.mrna.fna.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	SQH2	HM324	False					mrna	1							1								
1	medtr.HM324.gnm1.ann1.SQH2.protein.faa.gz	annotation	protein	Medicago	truncatula	Medicago truncatula	medtr	SQH2	HM324	True						1							1								
2	README.SQH2.yml	annotation	readme	Medicago	truncatula	Medicago truncatula	medtr	SQH2	HM324	False						1							1								
3	CHECKSUM.SQH2.md5	annotation	checksum	Medicago	truncatula	Medicago truncatula	medtr	SQH2	HM324	False						1							1								
4	medtr.HM324.gnm1.ann1.SQH2.cds.fna.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	SQH2	HM324	False					cds	1							1								
5	medtr.HM324.gnm1.ann1.SQH2.protein.faa.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	SQH2	HM324	False					protein	1							1								
6	MANIFEST.SQH2.correspondence.yml	annotation	correspondence	Medicago	truncatula	Medicago truncatula	medtr	SQH2	HM324	False						1							1								
7	medtr.HM324.gnm1.ann1.SQH2.cds.fna.gz	annotation	cds	Medicago	truncatula	Medicago truncatula	medtr	SQH2	HM324	True						1							1								
8	MANIFEST.SQH2.descriptions.yml	annotation	descriptions	Medicago	truncatula	Medicago truncatula	medtr	SQH2	HM324	False						1							1								
9	medtr.HM324.gnm1.ann1.SQH2.cds.fna.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	SQH2	HM324	False					cds	1							1								
10	medtr.HM324.gnm1.ann1.SQH2.gene_models_main.gff3.gz.tbi	annotation	tabix	Medicago	truncatula	Medicago truncatula	medtr	SQH2	HM324	False					gff	1							1								
11	medtr.HM324.gnm1.ann1.SQH2.protein.faa.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	SQH2	HM324	False					protein	1							1								
12	medtr.HM324.gnm1.ann1.SQH2.mrna.fna.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	SQH2	HM324	False					mrna	1							1								
13	medtr.HM324.gnm1.ann1.SQH2.mrna.fna.gz	annotation	mrna	Medicago	truncatula	Medicago truncatula	medtr	SQH2	HM324	True						1							1								
14	medtr.HM324.gnm1.ann1.SQH2.gene_models_main.gff3.gz	annotation	gff	Medicago	truncatula	Medicago truncatula	medtr	SQH2	HM324	True						1							1								
