	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	medtr.R108_HM340.gnm1.ann1.85YW.cds.fna.gz	annotation	cds	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	True						1							1								
1	medtr.R108_HM340.gnm1.ann1.85YW.cds.fna.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	False					cds	1							1								
2	medtr.R108_HM340.gnm1.ann1.85YW.protein.faa.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	False					protein	1							1								
3	medtr.R108_HM340.gnm1.ann1.85YW.protein_primaryTranscript.faa.gz	annotation	primary	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	True						1							1								
4	MANIFEST.85YW.descriptions.yml	annotation	descriptions	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	False						1							1								
5	medtr.R108_HM340.gnm1.ann1.85YW.protein_primaryTranscript.faa.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	False					primary	1							1								
6	medtr.R108_HM340.gnm1.ann1.85YW.protein.faa.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	False					protein	1							1								
7	medtr.R108_HM340.gnm1.ann1.85YW.protein.faa.gz	annotation	protein	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	True						1							1								
8	medtr.R108_HM340.gnm1.ann1.85YW.mrna.fna.gz	annotation	mrna	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	True						1							1								
9	medtr.R108_HM340.gnm1.ann1.85YW.cds_primaryTranscript.fna.gz.gzi	annotation	unrecognized	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	False						1							1								
10	medtr.R108_HM340.gnm1.ann1.85YW.cds_primaryTranscript.fna.gz.fai	annotation	unrecognized	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	False						1							1								
11	medtr.R108_HM340.gnm1.ann1.85YW.cds.fna.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	False					cds	1							1								
12	medtr.R108_HM340.gnm1.ann1.85YW.gene_models_main.gff3.gz.tbi	annotation	tabix	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	False					gff	1							1								
13	medtr.R108_HM340.gnm1.ann1.85YW.mrna.fna.gz.gzi	annotation	gzindex	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	False					mrna	1							1								
14	CHECKSUM.85YW.md5	annotation	checksum	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	False						1							1								
15	README.85YW.yml	annotation	readme	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	False						1							1								
16	medtr.R108_HM340.gnm1.ann1.85YW.protein_primaryTranscript.faa.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	False					primary	1							1								
17	MANIFEST.85YW.correspondence.yml	annotation	correspondence	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	False						1							1								
18	medtr.R108_HM340.gnm1.ann1.85YW.cds_primaryTranscript.fna.gz	annotation	unrecognized	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	True						1							1								
19	medtr.R108_HM340.gnm1.ann1.85YW.gene_models_main.gff3.gz	annotation	gff	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	True						1							1								
20	medtr.R108_HM340.gnm1.ann1.85YW.mrna.fna.gz.fai	annotation	faidx	Medicago	truncatula	Medicago truncatula	medtr	85YW	R108_HM340	False					mrna	1							1								
