	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	phavu.G19833.gnm2.ann1.PB8d.cds_primaryTranscript.fna.gz	annotation	unrecognized	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	PB8d	G19833	True						1							2								
1	phavu.G19833.gnm2.ann1.PB8d.info_annot.txt.gz	annotation	unrecognized	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	PB8d	G19833	True						1							2								
2	phavu.G19833.gnm2.ann1.PB8d.transcript_primaryTranscript.fna.gz	annotation	unrecognized	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	PB8d	G19833	True						1							2								
3	phavu.G19833.gnm2.ann1.PB8d.cds.fna.gz	annotation	cds	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	PB8d	G19833	True						1							2								
4	phavu.G19833.gnm2.ann1.PB8d.locus_transcript_name_map.txt.gz	annotation	unrecognized	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	PB8d	G19833	True						1							2								
5	phavu.G19833.gnm2.ann1.PB8d.synonym.txt.gz	annotation	unrecognized	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	PB8d	G19833	True						1							2								
6	phavu.G19833.gnm2.ann1.PB8d.transcript.fna.gz	annotation	unrecognized	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	PB8d	G19833	True						1							2								
7	original_Pvulgaris_442_v2.1.readme.txt	annotation	original_text	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	PB8d	G19833	False						1							2								
8	README.PB8d.yml	annotation	readme	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	PB8d	G19833	False						1							2								
9	phavu.G19833.gnm2.ann1.PB8d.protein_primaryTranscript.faa.gz	annotation	primary	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	PB8d	G19833	True						1							2								
10	phavu.G19833.gnm2.ann1.PB8d.gene_models_main.gff3.gz.tbi	annotation	tabix	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	PB8d	G19833	False					gff	1							2								
11	phavu.G19833.gnm2.ann1.PB8d.repeatmasking.gff3.gz	annotation	unrecognized	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	PB8d	G19833	True						1							2								
12	phavu.G19833.gnm2.ann1.PB8d.protein.faa.gz	annotation	protein	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	PB8d	G19833	True						1							2								
13	phavu.G19833.gnm2.ann1.PB8d.gene_models_main.gff3.gz	annotation	gff	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	PB8d	G19833	True						1							2								
14	CHECKSUM.PB8d.md5	annotation	checksum	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	PB8d	G19833	False						1							2								
