	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	phavu.UI111.gnm1.ann1.8L4N.repeatmasked_assembly_v1.0.gff3.gz	annotation	unrecognized	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	8L4N	UI111	True						1							1								
1	phavu.UI111.gnm1.ann1.8L4N.gene_models_main.gcv_chado.gff3.gz	annotation	invalid	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	8L4N	UI111	True	ext	gcv_chado				1							1								
2	phavu.UI111.gnm1.ann1.8L4N.protein.faa.gz	annotation	protein	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	8L4N	UI111	True						1							1								
3	phavu.UI111.gnm1.ann1.8L4N.transcript_primaryTranscript.fna.gz	annotation	unrecognized	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	8L4N	UI111	True						1							1								
4	phavu.UI111.gnm1.ann1.8L4N.transcript.fna.gz	annotation	unrecognized	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	8L4N	UI111	True						1							1								
5	original_readme_PvulgarisUI111_534_v1.1.txt	annotation	original_text	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	8L4N	UI111	False						1							1								
6	CHECKSUM.8L4N.md5	annotation	checksum	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	8L4N	UI111	False						1							1								
7	phavu.UI111.gnm1.ann1.8L4N.gene_models_main.gff3.gz	annotation	gff	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	8L4N	UI111	True						1							1								
8	MANIFEST.8L4N.correspondence.yml	annotation	correspondence	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	8L4N	UI111	False						1							1								
9	phavu.UI111.gnm1.ann1.8L4N.protein_primaryTranscript.faa.gz	annotation	primary	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	8L4N	UI111	True						1							1								
10	phavu.UI111.gnm1.ann1.8L4N.cds_primaryTranscript.fna.gz	annotation	unrecognized	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	8L4N	UI111	True						1							1								
11	README.8L4N.yml	annotation	readme	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	8L4N	UI111	False						1							1								
12	MANIFEST.8L4N.descriptions.yml	annotation	descriptions	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	8L4N	UI111	False						1							1								
13	phavu.UI111.gnm1.ann1.8L4N.info_defline.txt.gz	annotation	unrecognized	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	8L4N	UI111	True						1							1								
14	phavu.UI111.gnm1.ann1.8L4N.info_annot.txt.gz	annotation	unrecognized	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	8L4N	UI111	True						1							1								
15	phavu.UI111.gnm1.ann1.8L4N.cds.fna.gz	annotation	cds	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	8L4N	UI111	True						1							1								
16	phavu.UI111.gnm1.ann1.8L4N.gene_models_main.gff3.gz.tbi	annotation	tabix	Phaseolus	vulgaris	Phaseolus vulgaris	phavu	8L4N	UI111	False					gff	1							1								
