	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	pissa.Cameor.gnm1.ann1.7SZR.protein_primaryTranscript.faa.gz.fai	annotation	faidx	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	False					primary	1							1								
1	pissa.Cameor.gnm1.ann1.7SZR.cds_primaryTranscript.fna.gz.fai	annotation	unrecognized	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	False						1							1								
2	pissa.Cameor.gnm1.ann1.7SZR.mRNA.fna.gz.gzi	annotation	unrecognized	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	False						1							1								
3	pissa.Cameor.gnm1.ann1.7SZR.cds.fna.gz	annotation	cds	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	True						1							1								
4	README.7SZR.yml	annotation	readme	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	False						1							1								
5	CHECKSUM.7SZR.md5	annotation	checksum	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	False						1							1								
6	MANIFEST.7SZR.descriptions.yml	annotation	descriptions	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	False						1							1								
7	pissa.Cameor.gnm1.ann1.7SZR.gene_models_main.gff3.gz.csi	annotation	CSIindex	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	False					gff	1							1								
8	MANIFEST.7SZR.correspondence.yml	annotation	correspondence	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	False						1							1								
9	pissa.Cameor.gnm1.ann1.7SZR.cds_primaryTranscript.fna.gz.gzi	annotation	unrecognized	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	False						1							1								
10	pissa.Cameor.gnm1.ann1.7SZR.cds.fna.gz.fai	annotation	faidx	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	False					cds	1							1								
11	pissa.Cameor.gnm1.ann1.7SZR.protein.faa.gz.gzi	annotation	gzindex	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	False					protein	1							1								
12	pissa.Cameor.gnm1.ann1.7SZR.protein.faa.gz.fai	annotation	faidx	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	False					protein	1							1								
13	pissa.Cameor.gnm1.ann1.7SZR.protein_primaryTranscript.faa.gz.gzi	annotation	gzindex	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	False					primary	1							1								
14	pissa.Cameor.gnm1.ann1.7SZR.mRNA.fna.gz	annotation	unrecognized	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	True						1							1								
15	pissa.Cameor.gnm1.ann1.7SZR.cds_primaryTranscript.fna.gz	annotation	unrecognized	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	True						1							1								
16	pissa.Cameor.gnm1.ann1.7SZR.protein_primaryTranscript.faa.gz	annotation	primary	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	True						1							1								
17	pissa.Cameor.gnm1.ann1.7SZR.protein.faa.gz	annotation	protein	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	True						1							1								
18	pissa.Cameor.gnm1.ann1.7SZR.mRNA.fna.gz.fai	annotation	unrecognized	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	False						1							1								
19	pissa.Cameor.gnm1.ann1.7SZR.gene_models_main.gff3.gz	annotation	gff	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	True						1							1								
20	pissa.Cameor.gnm1.ann1.7SZR.cds.fna.gz.gzi	annotation	gzindex	Pisum	sativum	Pisum sativum	pissa	7SZR	Cameor	False					cds	1							1								
